SequenceID,gb_accession_version,gb_length,gb_create_date,gb_update_date,Genotype,Subgenotype,host_species,isolate,lab_construct,pubmed_id,country,country_iso,country_official,lab_construct,collection_year,collection_month,collection_month_day,pubmed_id
GQ924645,GQ924645.1,3215,20-Dec-09,20-May-11,B,B5,Homo sapiens,M82,-,20196797,Malaysia,MYS,Malaysia,-,2007,JAN,23,20196797
GQ924651,GQ924651.1,3215,20-Dec-09,20-May-11,B,B3-2,Homo sapiens,M88,-,20196797,Malaysia,MYS,Malaysia,-,2007,JAN,26,20196797
HM011496,HM011496.1,3215,03-May-10,08-Mar-11,B,B5,Homo sapiens,-,-,21328372,Malaysia,MYS,Malaysia,-,2008,JUN,10,21328372
HM066946,HM066946.2,3215,03-May-10,22-Jun-10,H,H,Homo sapiens,MX-HBV-0114,-,-,Mexico,MEX,Mexico,-,2008,-,-,-
HM117850,HM117850.2,3215,03-May-10,22-Jun-10,H,H,Homo sapiens,MX-HBV-0153,-,-,Mexico,MEX,Mexico,-,2009,-,-,-
HM363593,HM363593.1,3212,24-Aug-10,25-Jul-16,E,E,Homo sapiens,IBL1577,-,20657838,Nigeria,NGA,Nigeria,-,2007,-,-,20657838
HQ378247,HQ378247.1,3215,22-Dec-10,02-Dec-11,F,F,Homo sapiens,IRL-2009,-,21802353,Ireland,IRL,Ireland,-,2009,-,-,21802353
JF754607,JF754607.1,3182,01-Aug-11,01-Aug-11,D,D1,Homo sapiens,TK67,-,21678435,Turkey,TUR,Turkey,-,-,-,-,21678435
JF754626,JF754626.1,3182,01-Aug-11,01-Aug-11,D,D1,Homo sapiens,TK23,-,21678435,Turkey,TUR,Turkey,-,-,-,-,21678435
JN642130,JN642130.1,3182,27-Feb-12,13-Mar-17,D,D1,Homo sapiens,Leb13,-,22785194,Lebanon,LBN,Lebanon,-,2010,-,-,22785194
JN811655,JN811655.1,3215,26-Feb-12,26-Feb-12,F,F,Homo sapiens,3Mg,-,-,Argentina,ARG,Argentina,-,2008,-,-,-
JQ707680,JQ707680.1,3248,18-Apr-12,08-May-12,G,G,Homo sapiens,S11_6,-,22510694,USA,USA,United States of America,-,2003,APR,4,22510694
KF414679,KF414679.1,3248,01-Jul-14,01-Jul-14,G,G,Homo sapiens,B213,-,24895404,Venezuela,VEN,Bolivarian Republic of Venezuela,-,2005,MAY,24,24895404
KF767450,KF767450.1,3248,27-Nov-13,27-Nov-13,G,G,Homo sapiens,patient_23,-,24225261,Netherlands,NLD,Netherlands,-,2002,NOV,1,24225261
KM999990,KM999990.1,3215,15-Nov-14,28-Mar-16,C,C1,Homo sapiens,SEA-01,-,26662451,Thailand,THA,Thailand,-,2013,-,-,26662451
KM999991,KM999991.1,3215,15-Nov-14,28-Mar-16,C,C6,Homo sapiens,CH-02,-,26662451,China,CHN,China,-,2013,-,-,26662451
KP148502,KP148502.1,3215,20-Jul-16,20-Jul-16,I,I,Homo sapiens,Y194-2-25,-,-,China,CHN,China,-,2012,OCT,26,-
KP148510,KP148510.1,3215,20-Jul-16,20-Jul-16,I,I,Homo sapiens,Y194-2-33,-,-,China,CHN,China,-,2012,OCT,26,-
KP234050,KP234050.1,3221,15-Dec-14,28-Apr-16,A,A1,Homo sapiens,A1-SA,-,27002608,South Africa,ZAF,South Africa,-,2013,-,-,27002608
KP234051,KP234051.1,3221,15-Dec-14,28-Apr-16,A,A2,Homo sapiens,A2-EUR,-,27002608,Belgium,BEL,Belgium,-,2013,-,-,27002608
KP234052,KP234052.1,3221,15-Dec-14,28-Apr-16,A,A5,Homo sapiens,A3-CMR,-,27002608,Cameroon,CMR,Cameroon,-,2013,-,-,27002608
KP234053,KP234053.1,3221,15-Dec-14,28-Apr-16,A,A3,Homo sapiens,A5-HT,-,27002608,Haiti,HTI,Haiti,-,2013,-,-,27002608
KX264500,KX264500.1,3248,31-May-16,31-May-16,G,G,Homo sapiens,G-aej,-,-,Brazil,BRA,Brazil,-,2013,-,-,-
KY470857,KY470857.1,3215,18-Apr-17,18-Apr-17,I,I,Homo sapiens,Feb-22,-,28386078,China,CHN,China,-,2015,DEC,23,28386078
KY470859,KY470859.1,3215,18-Apr-17,18-Apr-17,I,I,Homo sapiens,2-A08,-,28386078,China,CHN,China,-,2015,DEC,23,28386078
KY470993,KY470993.1,3215,18-Apr-17,18-Apr-17,I,I,Homo sapiens,LMX-2,-,28386078,China,CHN,China,-,2015,DEC,30,28386078
V01460,V01460.1,3182,09-Jun-82,28-Jan-03,D,D3,Homo sapiens,-,-,399327,-,-,-,-,-,-,-,399327
X69798,X69798.1,3215,01-Feb-93,20-Mar-01,F,F,Homo sapiens,-,-,8345355,-,-,-,-,-,-,-,8345355
